autor,texto,data,link,hashtags,senioridade,localizacao,label
Marcio Garcia,Excelente artigo sobre data warehouse.,4 sem,https://www.linkedin.com/feed/update/urn:li:activity:7385156008676950016,[],não identificado,não identificado,postagem
José Daniel Cordero Márquez,"🇪🇸 Actualización GOLD 2026 — Principales NovedadesLa nueva versión de la GOLD 2026 introduce cambios relevantes en el diagnóstico y manejo de la EPOC. Entre los aspectos más destacados:• Nueva clasificación fisiológica de las exacerbaciones (ROME) incorporando PCR, gasometría (PaO₂, PaCO₂ con rangos específicos), acidosis y escala VAS de disnea.• Mayor peso de los eosinófilos para decidir tratamiento:– ICS solo si ≥100 cél/µL– Triple terapia principalmente si ≥300 cél/µL– Si eos <100, se prioriza azitromicina o roflumilast antes que triple terapia.• N-acetilcisteína gana un papel relevante como coadyuvante durante la exacerbación, mejorando síntomas e inflamación.• Nuevo concepto de “actividad de la enfermedad”, que integra inflamación, exacerbaciones y progresión funcional como objetivo terapéutico.• Biológicos, como dupilumab, entran por primera vez en el algoritmo.• Se incorpora un nuevo capítulo dedicado a Inteligencia Artificial y tecnologías emergentes, incluyendo IA para diagnóstico, estratificación de riesgo, análisis de imagen, seguimiento remoto y modelos predictivos.• Se mantiene el punto de corte FEV1/FVC < 0.70 para diagnóstico, sin adoptar LLN/z-score.Una actualización que refuerza la personalización del tratamiento y la integración de biomarcadores, fisiología, tecnologías avanzadas y prevención en el manejo de la EPOC.Estos cambios plantean retos y oportunidades en nuestra práctica clínica. ¿Cuál crees que será el mayor desafío en su implementación?---🇬🇧 GOLD 2026 Update — Key HighlightsThe new GOLD 2026 version introduces important updates in COPD diagnosis and management. Key highlights include:• New physiological ROME classification for exacerbations, incorporating CRP, blood gases (PaO₂, PaCO₂ with specific thresholds), acidosis, and the VAS dyspnea scale.• Stronger reliance on blood eosinophils to guide therapy:– ICS only when ≥100 cells/µL– Triple therapy mainly when ≥300 cells/µL– For eos <100, azithromycin or roflumilast are preferred before escalating to triple therapy.• N-acetylcysteine gains a more relevant role during acute exacerbations, improving symptoms and inflammatory markers.• Introduction of the new concept of “disease activity”, integrating inflammation, exacerbation burden and functional progression as therapeutic goals.• Biologic therapies, such as dupilumab, included for the first time in the treatment algorithm.• A new chapter on Artificial Intelligence and emerging technologies, addressing AI-supported diagnosis, image-based phenotyping, predictive models, and remote monitoring.• The diagnostic threshold FEV1/FVC < 0.70 is maintained, with no transition to LLN/z-score.A comprehensive update that reinforces personalized treatment and the integration of biomarkers, physiology, and advanced technologies in COPD care.These changes bring new challenges and opportunities. What do you believe will be the biggest barrier to implementing them in clinical practice?",2 d,https://www.linkedin.com/feed/update/urn:li:activity:7395490222836359168,[],não identificado,remoto,estrangeiro
Lanna Correia e Silva,"A minha última semana foi vivida com um mix de sentimentos. Um dos ciclos de maior aprendizado da minha vida se encerrou, enquanto cedeu espaço para uma nova etapa importante de experiência profissional.Me despedi do laboratório CS&I após 2 anos e meio de trabalho, parceria e extremo desenvolvimento técnico e pessoal em duas áreas fascinantes da tecnologia: IoT e machine learning. O vínculo formal já não existe mais, mas o CS&I sempre será parte da profissional que me empenho todos os dias em me tornar.Ademais, recebi com carinho, honra e determinação a oportunidade de estágio a qual me foi dada no PDI SW noInstituto Nacional de Telecomunicações - Inatel, dando segmento à minha atuação na área de machine learning.Obrigada aos meus orientadores, os professoresEvandro César Vilas BoaseFelipe Augusto Pereira de Figueiredo, por me acompanharem nessa jornada e ao Inatel por ambas as oportunidades. Estou feliz e ansiosa pelas novas conquistas e experiências que vêm pela frente!",4 sem,https://www.linkedin.com/feed/update/urn:li:activity:7385847329993523200,[],estagio,sp,postagem
TEF-HEALTH Node Slovakia,"November je mesiac povedomia o diabeteV piatok 14. novembra sme si pripomenuli Svetový deň diabetu, avšak celý november je príležitosťou hovoriť o ochorení, ktoré sa týka miliónov ľudí na celom svete a ktorého výskyt stále rastie.V našom projekte saTEF-Healthsa venujeme testovaniu technológií, ktoré môžu zásadne zlepšiť zdravotnú starostlivosť a podporiť efektívnejšiu diagnostiku aj liečbu.Práve diabetes je ochorenie, ktoré si vyžaduje dlhodobé sledovanie, kvalitné dáta a rýchle rozhodovanie – a v týchto oblastiach zohrávajú moderné technológie zásadnú rolu.✔️ AI (umelá inteligencia) dokáže analyzovať zdravotné dáta v reálnom čase, predikovať riziká, personalizovať liečbu a upozorniť na zmeny, ktoré by si človek nevšimol.✔️ Robotické technológie pomáhajú pri presnej aplikácii liečby, minimálne invazívnych zákrokoch a zlepšujú komfort aj bezpečnosť pacientov.✔️ V kombinácii môžu tieto technológie zásadne znížiť komplikácie, zlepšiť monitoring a podporiť skorý zásah pri zhoršovaní zdravotného stavu.November nám pripomína, že technológie majú zmysel len vtedy, ak prinášajú hodnotu ľuďom.Diabetes je jedným z ochorení, kde môže byť táto hodnota najvýraznejšia — a aj preto má táto téma miesto v projekte TEF-Health.- - - - -November is Diabetes Awareness MonthOn Friday, 14 November, we marked World Diabetes Day, but our attention should not be limited to a single day. The entire month of November offers an important opportunity to highlight a condition that affects millions of people worldwide — and whose prevalence continues to rise.Within our TEF-Health project, we focus on testing technologies that have the potential to significantly improve healthcare delivery and support more effective diagnostics and treatment.Diabetes is a condition that requires long-term monitoring, high-quality data, and rapid decision-making — areas in which modern technologies play an essential role.✔️ Artificial intelligence (AI) can analyse health data in real time, predict risks, personalise treatment, and detect changes that might otherwise remain unnoticed.✔️ Robotic technologies support precise delivery of therapy, minimally invasive procedures, and enhance both patient comfort and safety.✔️ Combined, these technologies can significantly reduce complications, improve monitoring, and enable early intervention when a patient’s condition begins to worsen.November reminds us that technology has value only when it truly benefits people.Diabetes is one of the conditions where this value can be most evident — and this is precisely why the topic has an important place within the TEF-Health project.",9 h,https://www.linkedin.com/feed/update/urn:li:activity:7396102136520122368,"['diabetesawarenessmonth', 'worlddiabetesday', 'digitalhealth', 'aiinhealthcare', 'healthtech', 'tefhealth']",não identificado,não identificado,estrangeiro
Vitor Hugo,"🚀 Novo passo na minha jornada profissional!Nos últimos meses, venho me dedicando intensamente ao desenvolvimento de projetos técnicos e de estudo, com foco em IA aplicada, visão computacional, segurança da informação e automação com Python.Criei meu portfólio no GitHub, onde compartilho projetos práticos que refletem minha evolução e curiosidade em transformar conhecimento em soluções reais.Alguns dos projetos em destaque incluem:🔹 Um sistema de detecção de lixo para Smart Cities utilizando Python e OpenCV, voltado à análise visual e reconhecimento de resíduos.🔹 Um classificador de risco baseado em aprendizado de máquina, capaz de categorizar cenários e auxiliar na tomada de decisão.💻 Confira meu portfólio completo:🔗https://lnkd.in/dK95d_dPAtualmente, estou em busca de oportunidades na área de Tecnologia, incluindo:Estágio em T.I.Auxiliar / Assistente de Suporte TécnicoProjetos voltados a automação, visão computacional e segurança da informação💬 Estou aberto a colaborações, ideias e novos desafios!",5 d,https://www.linkedin.com/feed/update/urn:li:activity:7394098698693255168,"['tecnologia', 'projetos', 'portfolio', 'python', 'opencv', 'machinelearning', 'segurancadainformacao', 'automacao', 'ia', 'estagio', 'oportunidades', 'desenvolvimento', 'aprendizado']",estagio,não identificado,vaga
Candidata ai,"🔥 *Tem nova vaga na área*!➡️ *Estágio de Verão - Engenharia*🏢 Estaleiro Navship📍Navegantes, SC, Brasil👉https://lnkd.in/d5svkd7Q🎯 Procuramos um(a) estagiário(a) para o programa de Estágio de Verão, que busca desenvolver novos talentos e oferecer vivência prática em um ambiente que valoriza inovação. Você auxiliará na checagem de equipamentos, confecção de relatórios de engenharia, verificação de especificações, liberação de desenhos para produção e estudos de normas, além de análises de cálculos estruturais, estabilidade, projetos de tubulação e elétricos.🛠️ Habilidades e Requisitos:Cursando a partir do 7° período em Engenharia Naval, Mecânica, Mecatrônica, Elétrica ou AutomaçãoPacote Office (Excel, Word)Inglês IntermediárioDiferenciais: conhecimentos em CFD, Machine Learning ou cálculo de sistemas de tubulação❤️ Benefícios:- Seguro de Vida",1 sem,https://www.linkedin.com/feed/update/urn:li:activity:7391478776494194689,"['estagio', 'engenharia', 'navegantes', 'estaleiro', 'navship', 'verao', 'vaga', 'oportunidade']",estagio,sp,vaga
Ed Marques,"🗣️ Vaga Nova: Analista de Sistemas e Inovação (Foco em IA)📢 Se você curte trabalhar com tecnologias robustas em uma empresa sólida, referencia no segmento e está sempre de olho em soluções inovadoras, essa oportunidade pode ser sua.Vamos juntos?Sua Missão:Mapear e compreender processos de negócio.Propor soluções tecnológicas e de automação, avaliando o impacto, viabilidade e retorno das iniciativas.Aplicar visão de IA para detectar oportunidades de uso de machine learning, automação cognitiva, processamento de linguagem natural (NLP), RPA com IA, entre outros.Desenhar fluxos de processos futuros (to-be).Conduzir análises de dados e métricas operacionais.Atuar em conjunto com times de TI e inovação na priorização, desenho técnico e implementação de soluções.Promover a cultura de melhoria contínua e transformação digital dentro das áreas de negócio.Requisitos:Ferramentas de automação e integração (Power Automate, UiPath, Make, Zapier, N8N e etc.).Conceitos de IA generativa e preditiva aplicados a negócios.Noções de design thinking e metodologias ágeis (Scrum, Kanban).Capacidade de tradução entre linguagem técnica e de negócios.💻 Atuação Híbrida (3x2) - Presencial Bela Vista - SP e (2 dias remotos).📃 Regime PJ✨ Início: Imediato.Gostou? 🙂Tem interesse na vaga?! Cadastre se no Link:https://lnkd.in/dx9kyqtxWhatsApp:https://lnkd.in/d_WGTP3x",1 d,https://www.linkedin.com/feed/update/urn:li:activity:7395859175014043648,[],senior,remoto,vaga
André Luiz Bernardes,"O que é ML - Machine Learning?✔ Brazil SFE®https://lnkd.in/dJ_NgKUaDesde 2018, o Machine Learning passou de buzzword a ferramenta essencial nos negócios. A capacidade de sistemas aprenderem com dados sem programação explícita revolucionou da medicina à logística. Dominar os conceitos de ML hoje significa estar na vanguarda da inovação orientada por dados e da competição do futuro.",2 sem,https://www.linkedin.com/feed/update/urn:li:activity:7388601507379752960,"['machinelearning', 'ml', 'ia', 'datascience', 'aprendizadodemaquina', 'bigdata', 'brazilsfe']",não identificado,não identificado,postagem
Maristela Rebonato 海星,"DROPS DE CARREIRA 💼🌍Curadoria de Oportunidades: Tech & Carreiras GlobaisSe você está mirando vagas internacionais, empresas globais e remuneração em dólar, aqui está uma seleção de oportunidades preparada com cuidado para acelerar sua próxima transição.E o melhor: todas aceitam profissionais da América Latina.1) Application Security Engineer | OWASP, TypeScript🌍 LATAM | 🗣️ Inglês B2  | 💸 ~USD 3k/mês | ⚙️ 3+ anos exp🔗 Aplicar:https://lnkd.in/ddnYBe6J2) Engineering Manager | React.js, Ruby on Rails🌍 LATAM | 🗣️ Inglês C1/C2  | 💸 ~USD 8k/mês | ⚙️ 8+ anos exp🔗 Aplicar:https://lnkd.in/dKFM8SK33) Full-stack Engineer | LLM, TypeScript🌍 LATAM | 🗣️ Inglês B2  | 💸 ~USD 5k/mês | ⚙️ 5+ anos exp🔗 Aplicar:https://lnkd.in/d7g5mP6n4) Senior Quality Assurance Engineer | JavaScript, Cypress🌍 LATAM | 🗣️ Inglês C1/C2  | 💸 ~USD 2k/mês | ⚙️ 5+ anos exp🔗 Aplicar:https://lnkd.in/dPVK2JYh5) Principal Search Engineer | AWS OpenSearch, Python🌍 LATAM | 🗣️ Inglês B2  | 💸 ~USD 4k/mês | ⚙️ 6+ anos exp🔗 Aplicar:https://lnkd.in/dbBqzGVW6) Content Specialist & SEO | Wordpress, Google Analytics🌍 LATAM | 🗣️ InglêsC1/C2  | 💸 ~USD 1,5k/mês | ⚙️ 2+ anos exp🔗 Aplicar:https://lnkd.in/dRcavj467) Senior Full-stack Engineer | React.js, .NET🌍 LATAM | 🗣️ Inglês C1/C2  | 💸 ~USD 5k/mês | ⚙️ 5+ anos exp🔗 Aplicar:https://lnkd.in/ds5HzQkd8) Full-stack Engineer | Python, React.js🌍 LATAM | 🗣️ Inglês C1/C2  | 💸 ~USD 5,5k/mês | ⚙️ 5+ anos exp🔗 Aplicar:https://lnkd.in/djkuUYvm9) Marketing Designer | Figma, Adobe Photoshop🌍 LATAM | 🗣️ Inglês C1/C2  | 💸 ~USD 3k/mês | ⚙️ 3+ anos exp🔗 Aplicar:https://lnkd.in/dKP7_2rA10) Website Analyst | WordPress🌍 LATAM | 🗣️ Inglês C1/C2  | 💸 ~USD 1k/mês | ⚙️ 2+ anos exp🔗 Aplicar:https://lnkd.in/dAvuEkYm",1 d,https://www.linkedin.com/feed/update/urn:li:activity:7395570041947160576,"['career', 'job', 'usdbased', 'opportunities', 'latam']",junior,sp,vaga
Welton Alves,"De dados brutos a Estratégia de CRM: Meu projeto de Machine Learning 📊🚀Sempre ouvi dizer que ""dados são o novo petróleo"", mas aprendi na prática que dados brutos não servem para nada se não forem refinados.Como estudante de Inteligência Artificial em busca da minha primeira oportunidade, decidi sair da teoria e aceitar um desafio real: trabalhar com Dados Reais de varejo (UCI Repository) para criar um sistema de segmentação de clientes do zero.🚧 O Processo (Mão na Massa): Não foi só rodar um modelo (model.fit). O trabalho pesado envolveu:Engenharia de Dados: Limpar uma base de 500 mil linhas e criar a lógica RFM (Recência, Frequência, Valor) para traduzir histórico de compras em comportamento.Clusterização: Usei K-Means para agrupar clientes em perfis de consumo.Detecção de Fraude: Apliquei DBSCAN para isolar padrões anômalos.📈 O Resultado Visual: (Veja na imagem abaixo 👇) Consegui separar visualmente os clientes ""Campeões"" (que merecem fidelidade) dos clientes ""Perdidos"" (que precisam de reativação).Este projeto reforçou minha base em Python e Estatística, e me mostrou como a tecnologia gera valor direto para o negócio.Estou buscando uma vaga de Estágio em Dados/TI para colaborar com times que valorizam essa visão analítica.Feedback de profissionais da área é muito bem-vindo! O que acharam da abordagem?Link do GitHub nos comentários! 🔗",3 d,https://www.linkedin.com/feed/update/urn:li:activity:7394792774870429696,"['python', 'dataanalytics', 'machinelearning', 'portfolio', 'vagasti', 'estagio', 'opentowork']",estagio,não identificado,postagem
