autor,texto,data,link,hashtags,senioridade,localizacao,label
Marcio Garcia,Excelente artigo sobre data warehouse.,4 sem,https://www.linkedin.com/feed/update/urn:li:activity:7385156008676950016,[],não identificado,não identificado,postagem
Lanna Correia e Silva,"A minha última semana foi vivida com um mix de sentimentos. Um dos ciclos de maior aprendizado da minha vida se encerrou, enquanto cedeu espaço para uma nova etapa importante de experiência profissional.Me despedi do laboratório CS&I após 2 anos e meio de trabalho, parceria e extremo desenvolvimento técnico e pessoal em duas áreas fascinantes da tecnologia: IoT e machine learning. O vínculo formal já não existe mais, mas o CS&I sempre será parte da profissional que me empenho todos os dias em me tornar.Ademais, recebi com carinho, honra e determinação a oportunidade de estágio a qual me foi dada no PDI SW noInstituto Nacional de Telecomunicações - Inatel, dando segmento à minha atuação na área de machine learning.Obrigada aos meus orientadores, os professoresEvandro César Vilas BoaseFelipe Augusto Pereira de Figueiredo, por me acompanharem nessa jornada e ao Inatel por ambas as oportunidades. Estou feliz e ansiosa pelas novas conquistas e experiências que vêm pela frente!",4 sem,https://www.linkedin.com/feed/update/urn:li:activity:7385847329993523200,[],estagio,sp,postagem
Vitor Hugo,"🚀 Novo passo na minha jornada profissional!Nos últimos meses, venho me dedicando intensamente ao desenvolvimento de projetos técnicos e de estudo, com foco em IA aplicada, visão computacional, segurança da informação e automação com Python.Criei meu portfólio no GitHub, onde compartilho projetos práticos que refletem minha evolução e curiosidade em transformar conhecimento em soluções reais.Alguns dos projetos em destaque incluem:🔹 Um sistema de detecção de lixo para Smart Cities utilizando Python e OpenCV, voltado à análise visual e reconhecimento de resíduos.🔹 Um classificador de risco baseado em aprendizado de máquina, capaz de categorizar cenários e auxiliar na tomada de decisão.💻 Confira meu portfólio completo:🔗https://lnkd.in/dK95d_dPAtualmente, estou em busca de oportunidades na área de Tecnologia, incluindo:Estágio em T.I.Auxiliar / Assistente de Suporte TécnicoProjetos voltados a automação, visão computacional e segurança da informação💬 Estou aberto a colaborações, ideias e novos desafios!",5 d,https://www.linkedin.com/feed/update/urn:li:activity:7394098698693255168,"['tecnologia', 'projetos', 'portfolio', 'python', 'opencv', 'machinelearning', 'segurancadainformacao', 'automacao', 'ia', 'estagio', 'oportunidades', 'desenvolvimento', 'aprendizado']",estagio,não identificado,vaga
Candidata ai,"🔥 *Tem nova vaga na área*!➡️ *Estágio de Verão - Engenharia*🏢 Estaleiro Navship📍Navegantes, SC, Brasil👉https://lnkd.in/d5svkd7Q🎯 Procuramos um(a) estagiário(a) para o programa de Estágio de Verão, que busca desenvolver novos talentos e oferecer vivência prática em um ambiente que valoriza inovação. Você auxiliará na checagem de equipamentos, confecção de relatórios de engenharia, verificação de especificações, liberação de desenhos para produção e estudos de normas, além de análises de cálculos estruturais, estabilidade, projetos de tubulação e elétricos.🛠️ Habilidades e Requisitos:Cursando a partir do 7° período em Engenharia Naval, Mecânica, Mecatrônica, Elétrica ou AutomaçãoPacote Office (Excel, Word)Inglês IntermediárioDiferenciais: conhecimentos em CFD, Machine Learning ou cálculo de sistemas de tubulação❤️ Benefícios:- Seguro de Vida",1 sem,https://www.linkedin.com/feed/update/urn:li:activity:7391478776494194689,"['estagio', 'engenharia', 'navegantes', 'estaleiro', 'navship', 'verao', 'vaga', 'oportunidade']",estagio,sp,vaga
André Luiz Bernardes,"O que é ML - Machine Learning?✔ Brazil SFE®https://lnkd.in/dJ_NgKUaDesde 2018, o Machine Learning passou de buzzword a ferramenta essencial nos negócios. A capacidade de sistemas aprenderem com dados sem programação explícita revolucionou da medicina à logística. Dominar os conceitos de ML hoje significa estar na vanguarda da inovação orientada por dados e da competição do futuro.",2 sem,https://www.linkedin.com/feed/update/urn:li:activity:7388601507379752960,"['machinelearning', 'ml', 'ia', 'datascience', 'aprendizadodemaquina', 'bigdata', 'brazilsfe']",não identificado,não identificado,postagem
Welton Alves,"De dados brutos a Estratégia de CRM: Meu projeto de Machine Learning 📊🚀Sempre ouvi dizer que ""dados são o novo petróleo"", mas aprendi na prática que dados brutos não servem para nada se não forem refinados.Como estudante de Inteligência Artificial em busca da minha primeira oportunidade, decidi sair da teoria e aceitar um desafio real: trabalhar com Dados Reais de varejo (UCI Repository) para criar um sistema de segmentação de clientes do zero.🚧 O Processo (Mão na Massa): Não foi só rodar um modelo (model.fit). O trabalho pesado envolveu:Engenharia de Dados: Limpar uma base de 500 mil linhas e criar a lógica RFM (Recência, Frequência, Valor) para traduzir histórico de compras em comportamento.Clusterização: Usei K-Means para agrupar clientes em perfis de consumo.Detecção de Fraude: Apliquei DBSCAN para isolar padrões anômalos.📈 O Resultado Visual: (Veja na imagem abaixo 👇) Consegui separar visualmente os clientes ""Campeões"" (que merecem fidelidade) dos clientes ""Perdidos"" (que precisam de reativação).Este projeto reforçou minha base em Python e Estatística, e me mostrou como a tecnologia gera valor direto para o negócio.Estou buscando uma vaga de Estágio em Dados/TI para colaborar com times que valorizam essa visão analítica.Feedback de profissionais da área é muito bem-vindo! O que acharam da abordagem?Link do GitHub nos comentários! 🔗",3 d,https://www.linkedin.com/feed/update/urn:li:activity:7394792774870429696,"['python', 'dataanalytics', 'machinelearning', 'portfolio', 'vagasti', 'estagio', 'opentowork']",estagio,não identificado,postagem
Bruno Maurus,"Que dia incrível no Santander Day (16/10)! 🚀Tive a oportunidade de mergulhar no universo de tecnologia e inovação doSantander Brasil. A agenda foi repleta de palestras valiosas, começando com uma visão geral do Ecossistema de Dados e IA da empresa.Discutimos temas de ponta, como Machine Learning aplicado à decisão de crédito, IA Responsável e o avanço da GenAI através do programa Data Masters.Um dos pontos altos foi conhecer os ""Programas que Transformam"", incluindo o Programa de Estágio Santander, e as diversas plataformas que apoiam o desenvolvimento profissional e o empreendedorismo, como a Open Academy,SantanderX, Campus Digital eUniversia.Foi uma excelente oportunidade para networking e para entender como o Santander está impulsionando a transformação digital.Obrigado ao Santander pelo convite e por compartilhar tantos insights valiosos!",4 sem,https://www.linkedin.com/feed/update/urn:li:activity:7386004733825654784,"['santanderday', 'santander', 'oportunidades', 'estagio', 'carreira', 'inovacao', 'tecnologia', 'dados', 'ia', 'ecossistemasantander']",estagio,sp,postagem
Celso Batista de Oliveira,"É com enorme orgulho que anunciamos a entrega do nosso Projeto Final de UPX IV ! Nossa equipe transformou o desafio da mobilidade urbana em uma solução completa: o Urbis Tech.Não construímos apenas um aplicativo; desenvolvemos um ecossistema que coloca a Inteligência Artificial no controle estratégico da frota:O Diferencial: Nossa IA Preditiva usa Machine Learning para antecipar picos de demanda e evitar superlotação, enviando sugestões proativas ao gestor (demonstramos até a taxa de aceitação!).O Usuário no Centro: O App Móvel dá autonomia ao passageiro, informando lotação em tempo real e previsão de chegada exata (ETA).Gestão 4.0: O Dashboard Operacional e o Painel Executivo (BI) transformam dados brutos em valor estratégico para a gestão pública.Todo o projeto foi concebido sob a metodologia Lean Startup e está alinhado com as ODS 9, 11 e 13, reforçando nosso compromisso com cidades mais sustentáveis.O vídeo explicativo completo de 9 minutos está disponível no link abaixo. Convidamos a todos para conhecerem nossa solução a fundo! 👇https://lnkd.in/gm6gN5_VGostaríamos de saber: Qual funcionalidade (Lotação em Tempo Real ou IA Preditiva) você acredita que traria mais impacto imediato para a sua cidade?",1 sem,https://www.linkedin.com/feed/update/urn:li:activity:7391990348836900865,"['urbistech', 'mobilidadeinteligente', 'inteligenciaartificial', 'ods', 'mobilidade', 'estagio']",não identificado,sp,postagem
Guilherme Ribeiro,"Hoje assisti uma palestra do MIT (Massachusetts Institute of Technology) ministrada pela Esther Duflo, e quem a conhece, sabe que ela dispensa apresentações (Vou deixar um artigo do G1 que fala sobre ela no final do post, para que você a conheça também 🤝).O tema foi uma introdução a ""Data Analysis For Social Scientists"" e para mim que estou em busca de uma oportunidade de estágio para iniciar minha trajetória na análise de dados, e que sou faminto por conhecimento, foi, sinceramente, uma palestra simplesmente incrível e absurdamente enriquecedora!Alguns dos assuntos interessantes da palestra foram:- Imparcialidade analítica e viés de confirmação- A não implicância entre Correlação/Causalidade- Análises preditivas e Machine Learning- Correlação Espúria (Apofenia com dados)O assunto que mais me chamou atenção foi o de ""Data Driven"", e como a Esther Duflo o usou tanto em ""Data Driven Bussiness"" como em ""Data Driven Politics"" para fazer uma introdução à demonstração do poder dos dados, seguindo com o exemplo de sua participação no que aconteceu em Gujarat, um estado da Índia, onde, em colaboração com o conselho de controle da poluição, a ""criação"" e apresentação de dados os levaram à alteração de uma lei que acabou com um sistema fraudulento em que auditores terceirizados fabricavam dados fictícios sobre os níveis de poluição das empresas para manter, assim, a ""clientela"".A partir disso, eles interviram por meio de um sistema de auditorias aleatórias, que acabou com a relação comercial Auditor/Empresa, e retroativa, onde um outro auditor verificava a legitimidade dos dados obtidos em uma segunda verificação, o que impedia que a empresa oferecesse suborno aos primeiros auditores enviados.Para mim, o exemplo de Gujarat é simplesmente CIRÚRGICO, pois representa a ética envolvendo a legitimidade dos dados, o conceito de decisões orientadas a dados e o enorme poder que eles possuem, tanto para o bem quanto para o mal. Por isso, gostaria de compartilhar também uma frase dita durante a palestra que gostei bastante, e que resume bem a beleza que existe na utilização de dados:""Os dados não são apenas belos. Quando usados corretamente, podem ser reveladores e nos contar histórias muito bonitas e importantes"" - Esther DufloMatéria do G1=https://lnkd.in/dDXvgb6ALink da palestra =https://lnkd.in/dZeab-V3",1 sem,https://www.linkedin.com/feed/update/urn:li:activity:7393111613740032000,"['dataanalysis', 'analisededados', 'dataanalyst', 'analistadedados', 'datascience', 'cienciadedados', 'datascientist', 'cientistadedados', 'estagio', 'bi', 'businessintelligence', 'inteligenciadenegocios', 'bianalyst']",estagio,sp,postagem
Eugenio Caner,A parceria com o professor Hélio Migon tem sido estratégica para incorporar o estado da arte em métodos bayesianos em aplicações praticas de nossos clientes.,3 sem,https://www.linkedin.com/feed/update/urn:li:activity:7386376329576742912,[],não identificado,não identificado,postagem
